Key,Item_Type,Publication_Year,Author,Title,Publication_Title,ISBN,ISSN,DOI,Url,Abstract_Note,Date,Date_Added,Date_Modified,Access_Date,Pages,Num_Pages,Issue,Volume,Number_Of_Volumes,Journal_Abbreviation,Short_Title,Series,Series_Number,Series_Text,Series_Title,Publisher,Place,Language,Rights,Type,Archive,Archive_Location,Library_Catalog,Call_Number,Extra,Notes,File_Attachments,Link_Attachments,Manual_Tags,Automatic_Tags,Editor,Series_Editor,Translator,Contributor,Attorney_Agent,Book_Author,Cast_Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed_Author,Scriptwriter,Words_By,Guest,Number,Edition,Running_Time,Scale,Medium,Artwork_Size,Filing_Date,Application_Number,Assignee,Issuing_Authority,Country,Meeting_Name,Conference_Name,Court,References,Reporter,Legal_Status,Priority_Numbers,Programming_Language,Version,System,Code,Code_Number,Section,Session,Committee,History,Legislative_Body
Q7TK8KUF,journalArticle,1983,"Tikader, B. K.; Bastawade, D. B.",Fauna of India: Scorpions,Scorpionida: Arachnida,,,,http://indianmedicine.eldoc.ub.rug.nl/root/T/125806/,,1983,2016-08-10 16:13:11,2016-08-10 16:13:11,2016-08-10 16:13:11,,,,3,,,Fauna of India,,,,,,,,,,,,Google Scholar,,,,/Volumes/Doc/Zotero/storage/358737ND/125806.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9KEZBVK,journalArticle,1997,"Bastawade, D. B.",Distribution of Neoscorpiops scorpions in the western ghats of Maharashtra and Gujarat and possible trichobothridial variations among isolated populations,JOURNAL-BOMBAY NATURAL HISTORY SOCIETY,,,,,,1997,2016-08-10 16:13:11,2016-08-10 16:13:11,,104–114,,,94,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEQQPCKJ,journalArticle,2006,"Bastawade, D. B.","Arachnida: Scorpionida, Uropygi, Schizomida and Oncopodid Opiliones (Chelicerata)","Zool. Surv, India. Fauna of Arunachal Pradesh, State Fauna Series",,,,,,2006,2016-08-10 16:13:11,2016-08-10 16:13:11,,449–465,,2,13,,,Arachnida,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC27QABC,journalArticle,1988,"Cokendolpher, James C.; Sissom, W. David; Bastawade, D. B.","A new Schizomus from the Indian state of Maharashtra, with additional comments on eyed schizomids (Arachnida: Schizomidae)",Insecta mundi,,,,http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1481&context=insectamundi,,1988,2016-08-10 16:13:11,2016-08-10 16:13:11,2016-08-10 16:13:11,482,,,,,,"A new Schizomus from the Indian state of Maharashtra, with additional comments on eyed schizomids (Arachnida",,,,,,,,,,,,Google Scholar,,,,"/Volumes/Doc/Zotero/storage/WWABCWBX/1988-A_new_Schizomus_from_the_Indian_state_of_Maharashtra,_with_additional_comments-CokendolpherJ-Journal_Article.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QQ2VKBP5,journalArticle,2002,"Bastawade, D. B.","Three new species from the spider families Amaurobiidae, Thomisidae and Salticidae (Araneae: Arachnida) from India",JOURNAL-BOMBAY NATURAL HISTORY SOCIETY,,,,,,2002,2016-08-10 16:16:55,2016-08-10 16:16:55,,274–281,,2,99,,,"Three new species from the spider families Amaurobiidae, Thomisidae and Salticidae (Araneae",,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72354BTA,journalArticle,2007,"Giribet, Gonzalo; Sharma, Prashant P.; Bastawade, Deshbhushan B.",A new genus and species of Cyphophthalmi (Arachnida: Opiliones) from the north-eastern states of India,Zoological Journal of the Linnean Society,,,,http://onlinelibrary.wiley.com/doi/10.1111/j.1096-3642.2007.00347.x/full,,2007,2016-08-10 16:16:55,2016-08-10 16:16:55,2016-08-10 16:16:55,663–670,,4,151,,,A new genus and species of Cyphophthalmi (Arachnida,,,,,,,,,,,,Google Scholar,,,,/Volumes/Doc/Zotero/storage/FMUIH639/2007-A_new_genus_and_species_of_Cyphophthalmi_(Arachnida-GiribetG-Journal_Article.pdf; /Volumes/Doc/Zotero/storage/ZM4SQDDX/full.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSIASS4K,journalArticle,1987,"Bastawade, D. B.","THE 1ST RECORD OF THE FAMILY ISCHNURIDAE (SCORPIONIDA, ARACHNIDA) FROM MAHARASHTRA WITH THE DESCRIPTION OF A NEW SPECIES OF A GENUS IOMACHUS POCOCK",Entomon,,,,,,1987,2016-08-10 16:16:55,2016-08-10 16:16:55,,101–104,,2,12,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GZEIKZN9,journalArticle,1992,"Bastawade, D. B.",First report of an arachnid order Cyphophthalmi (da) from India in Arunachal Pradesh,"Journal, Bombay Natural History Society",,,,,,1992,2016-08-10 16:18:28,2016-08-10 16:18:28,,268–269,,,89,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I8KRVBWR,journalArticle,2006,"Bastawade, D. B.",Replacement name for Amaurobius indicus and its transfer to family Corinnidae (Arachnida: Araneae),Zoos’ Print J,,,,,,2006,2016-08-10 16:18:28,2016-08-10 16:18:28,,2307,,,21,,,Replacement name for Amaurobius indicus and its transfer to family Corinnidae (Arachnida,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WX8X5UPQ,journalArticle,2012,"Pande, Satish; Bastawade, Deshbhushan; Padhye, Anand; Pawashe, Amit","Diversity of scorpion fauna of Saswad-Jejuri, Pune District, Maharashtra, western India",Journal of Threatened Taxa,,,,http://threatenedtaxa.org/index.php/JoTT/article/view/1110,,2012,2016-08-10 08:50:56,2016-08-10 08:50:56,2016-08-10 08:50:56,2381–2389,,2,4,,,,,,,,,,,,,,,Google Scholar,,,,/Volumes/Doc/Zotero/storage/V64DRHKF/2002.html; /Volumes/Doc/Zotero/storage/7A5AQ34S/1110.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
