Key,Item_Type,Publication_Year,Author,Title,Publication_Title,ISBN,ISSN,DOI,Url,Abstract_Note,Date,Date_Added,Date_Modified,Access_Date,Pages,Num_Pages,Issue,Volume,Number_Of_Volumes,Journal_Abbreviation,Short_Title,Series,Series_Number,Series_Text,Series_Title,Publisher,Place,Language,Rights,Type,Archive,Archive_Location,Library_Catalog,Call_Number,Extra,Notes,File_Attachments,Link_Attachments,Manual_Tags,Automatic_Tags,Editor,Series_Editor,Translator,Contributor,Attorney_Agent,Book_Author,Cast_Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed_Author,Scriptwriter,Words_By,Guest,Number,Edition,Running_Time,Scale,Medium,Artwork_Size,Filing_Date,Application_Number,Assignee,Issuing_Authority,Country,Meeting_Name,Conference_Name,Court,References,Reporter,Legal_Status,Priority_Numbers,Programming_Language,Version,System,Code,Code_Number,Section,Session,Committee,History,Legislative_Body
"H4AWXM99","journalArticle","2017","Suranse, Vivek; Sawant, Nitin S.; Paripatyadar, Shruti V.; Krutha, Keerthi; Paingankar, Mandar S.; Padhye, Anand D.; Bastawade, D. B.; Dahanukar, Neelesh","First molecular phylogeny of scorpions of the family Buthidae from India","Mitochondrial DNA Part A",,,,"http://www.tandfonline.com/doi/abs/10.3109/24701394.2016.1149830",,"2017","2017-06-28 10:35:46","2017-06-28 11:21:02","2017-06-28 10:35:46","606–611",,"4","28",,,,,,,,,,,,,,,"Google Scholar",,"Fish",,"/Volumes/RNPZOT/Zotero/storage/9P78E98I/24701394.2016.html; /Volumes/RNPZOT/Zotero/storage/9BUP4UPJ/24701394.2016.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A4GBN4PT","journalArticle","2017","Sayyed, Amit; Mahabal, Anil","Recent sightings of Sri Lankan Frogmouth Batrachostomus moniliger in Northern Western Ghats between Kolhapur and Mumbai, India","Magazine of Zoo Outreach Organization",,,,"http://www.zoosprint.org/ZooPrintMagazine/2016/April/ZPM_Apr_2016_Full_magazine.pdf#page=15",,"2017","2017-06-28 10:47:03","2017-06-28 11:21:11","2017-06-28 10:47:03","13",,,"4",,,,,,,,,,,,,,,"Google Scholar",,"Birds",,"/Volumes/RNPZOT/Zotero/storage/MXRZZRSR/2017-Recent_sightings_of_Sri_Lankan_Frogmouth_Batrachostomus_moniliger_in_Northern-SayyedA-Journal_Article.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KN4RU5ZQ","journalArticle","2016","Padhye, Sameer; Ghate, Hemant V.","A new species of Leptestheria (Crustacea: Branchiopoda: Spinicaudata) from Western Maharashtra, India","Zootaxa",,,,"http://www.biotaxa.org/Zootaxa/article/view/zootaxa.4127.2.6",,"2016","2017-06-28 10:35:46","2017-06-28 11:22:10","2017-06-28 10:35:46","345–354",,"2","4127",,,"A new species of Leptestheria (Crustacea",,,,,,,,,,,,"Google Scholar",,"Arthropods",,"/Volumes/RNPZOT/Zotero/storage/4XQI5WGF/2016-A_new_species_of_Leptestheria_(Crustacea-PadhyeS-Journal_Article.pdf; /Volumes/RNPZOT/Zotero/storage/UIRFX6VV/zootaxa.4127.2.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ND7ASUZT","journalArticle","2016","Mahabal, Anil; Thakur, Sanjay; Patil, Rajgopal","Distribution records and extended range of the Sri Lanka Frogmouth Batrachostomus moniliger (Aves: Caprimulgiformes: Podargidae) in the Western Ghats: a review from 1862 to 2015","Journal of Threatened Taxa",,"0974-7907, 0974-7893","10.11609/jott.2775.8.11.9289-9305","http://threatenedtaxa.org/index.php/JoTT/article/view/2775",,"2016-09-26","2016-09-29 07:30:56","2017-06-28 11:22:37","2016-09-29 07:30:56","9289",,"11","8",,,"Distribution records and extended range of the Sri Lanka Frogmouth Batrachostomus moniliger (Aves",,,,,,,,,,,,"CrossRef",,"Birds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZRJTH3S9","journalArticle","2016","MODAK, NIKHIL; DAHANUKAR, NEELESH; OGALE, HEMANT; PADHYE, ANAND","Ground foraging behaviour of Malayan giant squirrel (Ratufa bicolor)","CURRENT SCIENCE",,,,"http://www.currentscience.ac.in/Volumes/110/12/2223.pdf",,"2016","2017-06-28 10:35:46","2017-06-28 11:22:20","2017-06-28 10:35:46","2223",,"12","110",,,,,,,,,,,,,,,"Google Scholar",,"Mammals",,"/Volumes/RNPZOT/Zotero/storage/UTTVBJ5Q/2016-Ground_foraging_behaviour_of_Malayan_giant_squirrel_(Ratufa_bicolor)-MODAKN-Journal_Article.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2UVASEGI","journalArticle","2016","Mahabal, Anil; van Grouw, Hein; Sharma, R. M.; Thakur, Sanjay","How common is albinism really? Colour aberrations in Indian birds reviewed","Dutch Birding",,,,,,"2016","2016-08-12 04:20:05","2017-06-28 11:22:26",,"301-309",,"38",,,,,,,,,,,,,,,,,,"Birds",,"/Volumes/RNPZOT/Zotero/storage/AEIXR6VQ/2016-How_common_is_albinism_really-MahabalA-Journal_Article.pdf",,"Birds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EDJNKWUF","journalArticle","2016","Dahanukar, Neelesh; Modak, Nikhil; Krutha, Keerthi; Nameer, P. O.; Padhye, Anand D.; Molur, Sanjay","Leaping frogs (Anura: Ranixalidae) of the Western Ghats of India: An integrated taxonomic review","Journal of threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/2532",,"2016","2017-06-28 10:35:46","2017-06-28 11:00:25","2017-06-28 10:35:46","9221–9288",,"10","8",,,"Leaping frogs (Anura",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/U5AB6WWK/3767.html; /Volumes/RNPZOT/Zotero/storage/6H3SCAMS/2532.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MF2ZAJSP","journalArticle","2015","Padhye, Anand D.; Jadhav, Anushree; Modak, Nikhil; Nameer, P. O.; Dahanukar, Neelesh","Hydrophylax bahuvistara, a new species of fungoid frog (Amphibia: Ranidae) from peninsular India","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/2318",,"2015","2016-08-12 04:27:17","2017-06-28 11:22:57","2016-08-12 04:27:17","7744–7760",,"11","7",,,"Hydrophylax bahuvistara, a new species of fungoid frog (Amphibia",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/WMQED358/2015-Hydrophylax_bahuvistara,_a_new_species_of_fungoid_frog_(Amphibia-PadhyeA-Journal_Article.pdf; /Volumes/RNPZOT/Zotero/storage/7IAK82UG/2318.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PD4TWW3Z","journalArticle","2015","Modak, Nikhil; Dahanukar, Neelesh; Gosavi, Ninad; Padhye, Anand D.","Indirana salelkari, a new species of leaping frog (Anura: Ranixalidae) from Western Ghats of Goa, India","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/2175",,"2015","2016-08-10 08:50:56","2017-06-28 11:23:06","2016-08-10 08:50:56","7493–7509",,"9","7",,,"Indirana salelkari, a new species of leaping frog (Anura",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/9DZHS5VG/2015-Indirana_salelkari,_a_new_species_of_leaping_frog_(Anura-ModakN-Journal_Article.pdf; /Volumes/RNPZOT/Zotero/storage/DMREZ9IQ/2175.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XDIXFQ66","journalArticle","2015","Padhye, Anand D.; Jadhav, Anushree; Sulakhe, Shauri; Dahanukar, Neelesh","Sexual dimorphism in the Kudremukh Bush Frog (Anura: Rhacophoridae: Raorchestes tuberohumerus) of the Western Ghats, India, with a note on its distribution and conservation status","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/2018",,"2015","2016-08-10 09:19:16","2017-06-28 11:00:38","2016-08-10 09:19:16","7211–7222",,"6","7",,,"Sexual dimorphism in the Kudremukh Bush Frog (Anura",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/GU49D9I8/2015-Sexual_dimorphism_in_the_Kudremukh_Bush_Frog_(Anura-PadhyeA-Journal_Article.pdf; /Volumes/RNPZOT/Zotero/storage/5GG36HQI/2018.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UWM6GQ2E","journalArticle","2014","Modak, Nikhil; Padhye, Anand; Dahanukar, Neelesh","Delimiting the distribution range of Indirana leithii (Boulenger, 1888)(Anura: Ranixalidae), an endemic threatened anuran of the Western Ghats, based on molecular and morphological analysis","Zootaxa",,,,"https://www.researchgate.net/profile/Neelesh_Dahanukar/publication/262694041_Delimiting_the_distribution_range_of_Indirana_leithii_(Boulenger_1888)_(Anura_Ranixalidae)_an_endemic_threatened_anuran_of_the_Western_Ghats_based_on_molecular_and_morphological_analysis/links/53db20d60cf2a19eee8b4683.pdf",,"2014","2016-08-10 09:09:29","2017-06-28 11:23:30","2016-08-10 09:09:29","62–80",,"1","3796",,,"Delimiting the distribution range of Indirana leithii (Boulenger, 1888)(Anura",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/D5TZBTU6/2014-Delimiting_the_distribution_range_of_Indirana_leithii_(Boulenger,_1888)(Anura-ModakN-Journal_Article.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WQTR25ZZ","journalArticle","2014","Padhye, Anand D.; Modak, Nikhil; Dahanukar, Neelesh","Indirana chiravasi, a new species of leaping frog (Anura: Ranixalidae) from Western Ghats of India","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/1124",,"2014","2016-08-10 08:47:40","2017-06-28 11:23:20","2016-08-10 08:47:40","6293–6312",,"10","6",,,"Indirana chiravasi, a new species of leaping frog (Anura",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/D3F9FG7F/2030.html; /Volumes/RNPZOT/Zotero/storage/UVMBWQHF/1124.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZF72JE3","journalArticle","2014","Padhye, Anand D.; Modak, Nikhil; Dahanukar, Neelesh","Indirana chiravasi, a new species of leaping frog (Anura: Ranixalidae) from Western Ghats of India","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/1124",,"2014","2016-08-10 09:19:16","2017-06-28 11:23:13","2016-08-10 09:19:16","6293–6312",,"10","6",,,"Indirana chiravasi, a new species of leaping frog (Anura",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/9XP32RQR/2030.html; /Volumes/RNPZOT/Zotero/storage/IZ2TZZT3/1124.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KDXMPVGE","journalArticle","2014","Mahabal, Anil; Thakur, Sanjay","Instances of aberrant colors and patterns among the indian herpetofauna: a review.","Russian Journal of Herpetology",,,,"http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10262296&AN=109201094&h=raf16Jw7yKPT5tUSmkNcsw%2BUu%2BGylwAdZlBcC8F292lpI6YyAePnOpO3dz36ve1XNZbflFYc%2Fh35%2BMpztjSqQw%3D%3D&crl=c",,"2014","2016-08-12 04:24:41","2017-06-28 11:23:38","2016-08-12 04:24:41",,,"2","21",,,"INSTANCES OF ABERRANT COLORS AND PATTERNS AMONG THE INDIAN HERPETOFAUNA",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/C6S7RF28/abstract.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H8AIQCKB","journalArticle","2013","Padhye, Anand; Pandit, Rohan; Patil, Rajgopal; Gaikwad, Swapnil; Dahanukar, Neelesh; Shouche, Yogesh","Range extension of Ferguson Toad Duttaphrynus scaber (Schneider)(Amphibia: Anura: Bufonidae) up to the northern most limit of Western Ghats, with its advertisement call analysis","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/1487",,"2013","2016-08-10 09:09:29","2017-06-28 11:23:54","2016-08-10 09:09:29","4579–4585",,"11","5",,,"Range extension of Ferguson Toad Duttaphrynus scaber (Schneider)(Amphibia",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/ZDPENC8X/2722.html; /Volumes/RNPZOT/Zotero/storage/B986A77N/1487.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4ASQWQ2B","journalArticle","2013","Padhye, Anand D.; Sayyed, Amit; Jadhav, Anushree; Dahanukar, Neelesh","Raorchestes ghatei, a new species of shrub frog (Anura: Rhacophoridae) from the Western Ghats of Maharashtra, India","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/1521",,"2013","2016-08-10 08:47:40","2017-06-28 11:23:45","2016-08-10 08:47:40","4913–4931",,"15","5",,,"Raorchestes ghatei, a new species of shrub frog (Anura",,,,,,,,,,,,"Google Scholar",,"Herptiles",,"/Volumes/RNPZOT/Zotero/storage/FNVES6HJ/2788.html; /Volumes/RNPZOT/Zotero/storage/RV6N2SRF/1521.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4FBGRF9I","journalArticle","2012","Padhye, Anand; Shelke, Sheetal; Dahanukar, Neelesh","Distribution and composition of butterfly species along the latitudinal and habitat gradients of the Western Ghats of India","Check List",,,,"http://www.biotaxa.org/cl/article/view/8.6.1197",,"2012","2016-08-10 08:50:56","2017-06-28 11:24:09","2016-08-10 08:50:56","1197–1215",,"6","8",,,,,,,,,,,,,,,"Google Scholar",,"Insects",,"/Volumes/RNPZOT/Zotero/storage/KFWD4U55/8.6.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WX8X5UPQ","journalArticle","2012","Pande, Satish; Bastawade, Deshbhushan; Padhye, Anand; Pawashe, Amit","Diversity of scorpion fauna of Saswad-Jejuri, Pune District, Maharashtra, western India","Journal of Threatened Taxa",,,,"http://threatenedtaxa.org/index.php/JoTT/article/view/1110",,"2012","2016-08-10 08:50:56","2017-06-28 11:24:04","2016-08-10 08:50:56","2381–2389",,"2","4",,,,,,,,,,,,,,,"Google Scholar",,"Arachnida",,"/Volumes/RNPZOT/Zotero/storage/V64DRHKF/2002.html; /Volumes/RNPZOT/Zotero/storage/7A5AQ34S/1110.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3MT4U62F","journalArticle","2009","Sharma, R. M.","Checklist of Indian Gall midges (Diptera: Cecidomyiidae)","Available online with updates at http://www. zsi. gov. in/zoological-surveyofindia/zsidata/checklist/Indian% 20Gall% 20midges. pdf",,,,,,"2009","2016-08-10 16:11:15","2017-06-28 11:24:17",,,,,,,,"Checklist of Indian Gall midges (Diptera",,,,,,,,,,,,"Google Scholar",,"Insects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
